Username,Career_1,FitScore_1,Career_2,FitScore_2,Career_3,FitScore_3,Career_4,FitScore_4,Career_5,FitScore_5,FitScoreAvg,RecommendationType,AcademicReadiness,DominantRIASEC
Student01,"BSc Chemistry",76.30,"BSc Physics",76.14,"BSc Computer Science",75.06,"BSc Biological Sciences",74.96,"BSc Mathematics",74.63,75.42,Success,77.25,CIR
Student04,"BCom Business Management",66.29,"BCom Accounting",66.19,"BCom Economics",63.35,"LLB (Law)",63.20,"BA Social Work",63.15,64.43,Success,72.50,EIC
Student09,"BCom Accounting",65.27,"BCom Business Management",65.23,"BSc Nursing",63.70,"BA Social Work",63.69,"LLB (Law)",63.30,64.24,Success,73.19,EIR
Student17,"BCom Business Management",66.50,"BCom Accounting",65.78,"BA Social Work",63.86,"BEd Primary Education",63.32,"BSc Nursing",63.15,64.52,Success,71.69,EIR
Student20,"BA Social Work",64.87,"BEd Educational Psychology",64.04,"BEd Primary Education",63.55,"BA Psychology",63.10,"BCom Industrial Psychology",62.60,63.63,Success,68.10,SRI
Student26_SmartAnxious,"BSc Physics",65.82,"BSc Chemistry",65.63,"BSc Mathematics",65.04,"BSc Computer Science",64.73,"BSc Biological Sciences",64.32,65.11,Success,64.05,CIR
Student27_PersistentStruggler,"BA Social Work",66.81,"BEd Primary Education",65.20,"BEd Educational Psychology",64.36,"BCom Business Management",63.15,"BCom Industrial Psychology",62.73,64.45,Success,50.38,SER
Student28_SmartQuitter,"BCom Accounting",57.40,"BCom Economics",57.06,"BCom Business Management",56.93,"BSc Physics",56.77,"BSc Chemistry",56.66,56.96,Success,64.07,EIR
Student29_CognitiveStrong_BehavioralWeak,"BSc Mathematics",64.84,"BA English Literature",63.40,"BSc Physics",63.34,"BSc Chemistry",62.33,"BA History",62.30,63.24,Success,66.29,AIR
Student30_ModerateIntellect_HighPsych_HighBehav,"BA Social Work",72.43,"BEd Primary Education",70.69,"BEd Educational Psychology",69.96,"BSc Nursing",69.01,"BCom Business Management",68.77,70.17,Success,60.05,SCR
Student31_HighCognitive_LowIntellect_ModBehav,"BCom Accounting",56.84,"BCom Business Management",54.56,"BSc Chemistry",52.40,"BSc Information Systems",52.17,"BCom Economics",52.15,53.63,Success,50.78,CER
Student32_HighPsych_LowEverythingElse,"BA Social Work",55.04,"BEd Primary Education",53.40,"BEd Educational Psychology",53.37,"BA Psychology",52.19,"BCom Industrial Psychology",51.87,53.18,Success,40.53,SRI
Student33_LowIntellect_ModCog_HighBehav,"BCom Accounting",55.04,"BCom Business Management",53.09,"BSc Nursing",51.68,"BSc Chemistry",51.61,"BSc Physiotherapy",51.54,52.59,Success,49.60,CRE
Student34_HighInt_HighPsych_LowCog_LowBehav,"BSc Mathematics",63.75,"BA English Literature",62.97,"BSc Physics",62.53,"BA History",61.80,"BSc Chemistry",61.66,62.54,Success,65.85,AIR
Student35_BalancedModerate,"BSc Chemistry",64.91,"BSc Physics",64.74,"BSc Computer Science",63.89,"BSc Mathematics",63.88,"BSc Biological Sciences",63.83,64.25,Success,58.54,CIR
